model,pred_len,epoch,train_loss,val_loss,r2_val_sklearn
Transencwithlineardec,1,20,32285.95051945746,1041.3996999412775,0.2657375931739807
Transencwithlineardec,1,21,32377.71486429125,1055.3706191629171,0.25588715076446533
Transencwithlineardec,1,22,32239.72108540684,1060.6315288878977,0.2521778345108032
Transencwithlineardec,1,23,32408.664563149214,1043.7232704907656,0.2640993595123291
Transencwithlineardec,1,24,32021.66767884046,1051.2060817107558,0.2588234543800354
Transencwithlineardec,1,25,32045.97410363704,1047.3816382270306,0.2615198493003845
Transencwithlineardec,1,26,31987.11469243467,1048.2032633572817,0.2609406113624573
Transencwithlineardec,1,27,32042.276660725474,1135.9969268739223,0.19903963804244995
Transencwithlineardec,1,28,32251.78212785721,1070.4787226989865,0.24523478746414185
Transencwithlineardec,1,1,34380.99513756856,1315.7544886991382,0.07229745388031006
Transencwithlineardec,1,2,34134.1311939694,1276.3083619102836,0.1001099944114685
Transencwithlineardec,1,3,34055.2149413228,1250.4343550503254,0.11835306882858276
Transencwithlineardec,1,4,34007.242596171796,1239.0568240880966,0.12637507915496826
Transencwithlineardec,1,5,33979.63969426602,1235.1352014243603,0.12914001941680908
Transencwithlineardec,1,6,33953.65102495253,1231.561291784048,0.13165992498397827
Transencwithlineardec,1,7,33930.317257106304,1229.4230591356754,0.13316750526428223
Transencwithlineardec,1,8,33904.43508589268,1229.0396955609322,0.13343775272369385
Transencwithlineardec,1,9,33883.298490174115,1227.0994092822075,0.1348057985305786
Transencwithlineardec,1,10,33852.22945228964,1227.8730892539024,0.134260356426239
Transencwithlineardec,1,11,33812.00219617784,1220.8945920467377,0.13918066024780273
Transencwithlineardec,1,12,33766.18935568631,1211.6189338564873,0.1457207202911377
Transencwithlineardec,1,13,33709.000232584774,1194.3333105444908,0.1579083800315857
Transencwithlineardec,1,14,33626.34751051664,1179.9858724474907,0.1680241823196411
Transencwithlineardec,1,15,33529.395526990294,1167.9081661105156,0.17653995752334595
Transencwithlineardec,2,1,34969.96197153255,1816.1251378506422,0.09037160873413086
Transencwithlineardec,2,2,34505.84642075747,1759.6841930001974,0.1186407208442688
Transencwithlineardec,2,3,34377.83219201118,1728.916245289147,0.13405120372772217
Transencwithlineardec,2,4,34314.47648277879,1700.2961910963058,0.14838600158691406
Transencwithlineardec,2,5,34278.30209800601,1685.2616169005632,0.1559162139892578
Transencwithlineardec,2,6,34243.21731132269,1677.32572555542,0.15989094972610474
Transencwithlineardec,2,7,34206.51506960392,1675.546022862196,0.16078239679336548
Transencwithlineardec,2,8,34163.458172783256,1676.1044604182243,0.16050273180007935
Transencwithlineardec,2,9,34122.866759076715,1678.898134291172,0.15910351276397705
Transencwithlineardec,2,10,34066.09998700023,1684.5179098844528,0.156288743019104
Transencwithlineardec,2,11,33996.74415153265,1679.6103720664978,0.15874677896499634
Transencwithlineardec,2,12,33895.52338042855,1658.464475929737,0.16933780908584595
Transencwithlineardec,2,13,33786.27410708368,1638.0420977175236,0.17956674098968506
Transencwithlineardec,2,14,33649.69572287798,1614.0916447639465,0.1915624737739563
Transencwithlineardec,2,15,33487.534999877214,1589.2791038304567,0.20399022102355957
Transencwithlineardec,1,1,34371.359767735004,1326.759361192584,0.06453830003738403
Transencwithlineardec,1,2,34167.71241634339,1272.2044607549906,0.10300350189208984
Transencwithlineardec,1,3,34107.03914670646,1257.072674870491,0.11367255449295044
Transencwithlineardec,1,4,34083.045567162335,1254.3444110006094,0.11559617519378662
Transencwithlineardec,1,5,34068.75034664571,1259.0224591195583,0.11229777336120605
Transencwithlineardec,1,6,34055.64953232929,1258.949793189764,0.11234897375106812
Transencwithlineardec,1,7,34036.04728783667,1259.4068937301636,0.11202675104141235
Transencwithlineardec,1,8,34017.331190645695,1261.8567381948233,0.11029934883117676
Transencwithlineardec,1,9,33973.324325822294,1251.7418470978737,0.1174311637878418
Transencwithlineardec,1,1,34975.45982989669,1439.2377321273088,-0.014767050743103027
Transencwithlineardec,1,2,34698.756356582046,1424.5086068920791,-0.004381895065307617
Transencwithlineardec,1,3,34634.53110379726,1418.512066990137,-0.00015401840209960938
Transencwithlineardec,1,4,34591.449533723295,1413.3840254954994,0.0034616589546203613
Transencwithlineardec,1,5,34553.42045742273,1409.3788405619562,0.006285667419433594
Transencwithlineardec,1,6,34520.840891480446,1405.6059508770704,0.008945763111114502
Transencwithlineardec,1,7,34484.31800104305,1398.2933843508363,0.014101624488830566
Transencwithlineardec,1,8,34452.906382247806,1389.6403333991766,0.020202577114105225
Transencwithlineardec,1,9,34417.41040816903,1387.2345638498664,0.021898925304412842
Transencwithlineardec,1,10,34385.40724170953,1380.3615745641291,0.026744961738586426
Transencwithlineardec,1,1,34455.41095025092,1318.1683956384659,0.0705956220626831
Transencwithlineardec,1,2,34150.33397644758,1267.2863100543618,0.10647112131118774
Transencwithlineardec,1,3,34041.118069291115,1247.458904325962,0.12045097351074219
Transencwithlineardec,1,4,33986.92495273054,1235.1839791983366,0.12910574674606323
Transencwithlineardec,1,5,33952.25267276168,1227.687642171979,0.13439112901687622
Transencwithlineardec,1,6,33917.924626648426,1225.623030781746,0.13584685325622559
Transencwithlineardec,1,7,33896.63577901572,1224.6048137843609,0.13656467199325562
Transencwithlineardec,1,8,33872.47594100982,1225.0877346098423,0.13622426986694336
Transencwithlineardec,1,9,33852.41410894692,1224.969516634941,0.13630753755569458
Transencwithlineardec,1,10,33831.21573355794,1223.1189906597137,0.13761234283447266
Transencwithlineardec,1,11,33796.97076527774,1223.2120360434055,0.1375468373298645
Transencwithlineardec,1,12,33759.02996314317,1220.7185578346252,0.1393047571182251
Transencwithlineardec,1,13,33726.89862295985,1213.7573921382427,0.1442130208015442
Transencwithlineardec,1,14,33679.19158235192,1203.7915607392788,0.15123963356018066
Transencwithlineardec,1,15,33627.08356156945,1197.7288401722908,0.15551429986953735
Transencwithlineardec,1,1,34507.96678826213,1338.3657028228045,0.05635499954223633
Transencwithlineardec,1,2,34195.884198226035,1298.9174325019121,0.08416897058486938
Transencwithlineardec,1,3,34077.56728903204,1252.8431249186397,0.11665463447570801
Transencwithlineardec,1,4,34012.34873871505,1238.8644533753395,0.12651067972183228
Transencwithlineardec,1,5,33974.06936964393,1230.2678586691618,0.13257181644439697
Transencwithlineardec,1,6,33937.40336486697,1227.8755587786436,0.1342586874961853
Transencwithlineardec,1,7,33907.723848596215,1232.5720017552376,0.1309472918510437
Transencwithlineardec,1,8,33883.40257076919,1234.3136988282204,0.1297193169593811
Transencwithlineardec,1,9,33858.972085013986,1236.3873419761658,0.12825727462768555
Transencwithlineardec,1,10,33835.30589378625,1239.1404631137848,0.12631607055664062
Transencwithlineardec,1,11,33804.57690735161,1231.51789188385,0.13169056177139282
Transencwithlineardec,1,12,33779.91896420717,1233.1411430239677,0.13054603338241577
Transencwithlineardec,1,13,33733.93343991786,1223.0626535713673,0.13765209913253784
Transencwithlineardec,1,14,33694.391158007085,1217.779884904623,0.14137685298919678
Transencwithlineardec,1,15,33644.675781175494,1205.240576684475,0.15021789073944092
Transencwithlineardec,1,16,33590.43412040174,1196.5577355325222,0.15633994340896606
Transencwithlineardec,1,17,33525.65887979418,1201.4343818426132,0.1529015302658081
Transencwithlineardec,1,18,33492.200738824904,1193.8181251585484,0.15827149152755737
Transencwithlineardec,1,19,33459.95627453923,1209.6580734550953,0.14710336923599243
Transencwithlineardec,1,20,33397.65651604533,1194.919486835599,0.15749508142471313
Transencwithlineardec,1,21,33341.46568840742,1196.9014735519886,0.15609759092330933
Transencwithlineardec,1,22,33292.16480413079,1193.3659596145153,0.1585904359817505
Transencwithlineardec,1,23,33212.30252915621,1176.5733029842377,0.17043036222457886
Transencwithlineardec,1,24,33244.78297768533,1186.4688628613949,0.1634533405303955
Transencwithlineardec,1,25,33120.47322413325,1197.0685797929764,0.15597981214523315
Transencwithlineardec,1,26,33003.45934802294,1208.8243195712566,0.147691011428833
Transencwithlineardec,1,27,33090.09768331051,1183.5660324841738,0.16550004482269287
Transencwithlineardec,1,28,33037.93786647916,1174.889411866665,0.17161768674850464
Transencwithlineardec,1,29,32940.74561470747,1164.2824901938438,0.17909634113311768
Transencwithlineardec,1,30,32881.66551183164,1181.431316614151,0.16700512170791626
Transencwithlineardec,1,1,34310.89728458598,1271.1683501098305,0.1037340760231018
Transencwithlineardec,1,2,33709.33745060861,1150.5919152125716,0.18874919414520264
Transencwithlineardec,1,3,33418.69773713872,1098.7816597670317,0.22527915239334106
Transencwithlineardec,1,4,33274.14792706072,1073.833281211555,0.24286961555480957
Transencwithlineardec,1,5,33172.22725144774,1057.3124343156815,0.2545180320739746
Transencwithlineardec,1,6,33078.048518143594,1046.6100327149034,0.2620639204978943
Transencwithlineardec,1,7,33010.51757498458,1035.0647812001407,0.27020418643951416
Transencwithlineardec,1,8,32929.57194529474,1030.406496964395,0.2734886407852173
Transencwithlineardec,1,9,32862.71827409789,1023.8713410720229,0.27809637784957886
Transencwithlineardec,1,10,32789.45607559383,1023.9652900621295,0.2780300974845886
Transencwithlineardec,1,11,32735.78969590366,1021.5790837984532,0.2797125577926636
Transencwithlineardec,1,12,32700.629114147276,1023.1951890494674,0.27857309579849243
Transencwithlineardec,1,13,32687.22284179926,1024.2310438267887,0.27784281969070435
Transencwithlineardec,1,14,32576.39316455275,1023.2388079632074,0.27854233980178833
Transencwithlineardec,1,15,32525.618349283934,1026.4252138268203,0.2762957811355591
Transencwithlineardec,1,16,32498.97545198351,1035.3115732632577,0.27003026008605957
Transencwithlineardec,1,17,32548.90246245265,1036.241381905973,0.26937466859817505
Transencwithlineardec,1,18,32469.70388906449,1030.457314554602,0.2734527587890625
Transencwithlineardec,1,19,32318.054783277214,1035.4077673256397,0.2699623107910156
Transencwithlineardec,1,20,32367.91953022778,1037.483246859163,0.2684990167617798
Transencwithlineardec,1,21,32289.590265139937,1066.4068312644958,0.24810582399368286
Transencwithlineardec,1,22,32398.622961863875,1051.8516053669155,0.25836819410324097
Transencwithlineardec,1,23,32338.40331479162,1046.9531215801835,0.26182204484939575
Transencwithlineardec,1,24,32435.828842639923,1048.6607895717025,0.2606179714202881
Transencwithlineardec,1,25,32437.033739224076,1058.5895088016987,0.2536175847053528
Transencwithlineardec,1,26,32571.933129683137,1071.4855565428734,0.24452489614486694
Transencwithlineardec,1,27,32203.096717625856,1072.5865564346313,0.24374860525131226
Transencwithlineardec,1,28,32157.913444906473,1054.930321507156,0.2561975121498108
Transencwithlineardec,1,29,32023.921165309846,1043.1283673420548,0.26451873779296875
Transencwithlineardec,1,30,31737.51787778735,1063.590454723686,0.250091552734375
Transencwithlineardec,1,1,34558.64510822296,1418.9917039433494,-0.000492095947265625
Transencwithlineardec,1,2,34562.47247193009,1406.5937351332977,0.008249342441558838
Transencwithlineardec,1,3,33633.18470090628,1098.0719381570816,0.22577953338623047
Transencwithlineardec,1,4,33396.68495991826,1087.2967410236597,0.2333768606185913
Transencwithlineardec,1,5,33336.0237185806,1094.6824444830418,0.22816938161849976
Transencwithlineardec,1,6,33315.01610021293,1088.5183572918177,0.23251557350158691
Transencwithlineardec,1,7,33290.84368080646,1092.948884099722,0.22939163446426392
Transencwithlineardec,1,8,33273.89940094948,1090.0159299522638,0.2314596176147461
Transencwithlineardec,1,9,33241.84258944914,1090.0227018743753,0.23145484924316406
Transencwithlineardec,1,10,33195.31927599013,1087.2727520763874,0.2333938479423523
Transencwithlineardec,1,11,33166.04252158478,1082.9604570269585,0.23643428087234497
Transencwithlineardec,1,12,33092.25035395846,1092.9579492211342,0.2293853759765625
Transencwithlineardec,1,13,32981.54841243848,1043.421996563673,0.2643117308616638
Transencwithlineardec,1,14,32914.52152006328,1041.8919086456299,0.2653905153274536
Transencwithlineardec,1,15,32769.29645292461,1023.8781992644072,0.2780916094779968
Transencwithlineardec,1,16,32673.991004273295,1013.673349916935,0.28528672456741333
Transencwithlineardec,1,17,33175.32518136501,1103.3407066762447,0.22206473350524902
Transencwithlineardec,1,18,32636.98060695082,1009.6554677784443,0.28811967372894287
Transencwithlineardec,1,19,32655.935483187437,1020.3130452632904,0.2806052565574646
Transencwithlineardec,1,20,32439.548173718154,1049.088939845562,0.2603161931037903
Transencwithlineardec,1,21,32435.97176040709,1018.2748588323593,0.2820422649383545
Transencwithlineardec,1,22,32501.06828482449,1044.5560327768326,0.26351219415664673
Transencwithlineardec,1,23,32548.900125958025,1022.1459445357323,0.2793129086494446
Transencwithlineardec,1,24,33456.76746477559,1261.724505841732,0.11039263010025024
Transencwithlineardec,1,25,32999.60377076268,1024.1558004319668,0.27789586782455444
Transencwithlineardec,1,26,32433.89111199975,1011.0552339702845,0.2871325612068176
Transencwithlineardec,1,27,32312.267507106066,1018.421868532896,0.28193867206573486
Transencwithlineardec,1,28,32219.54332728684,1078.557612746954,0.23953860998153687
Transencwithlineardec,1,29,32157.727799922228,1087.0673677325249,0.23353856801986694
Transencwithlineardec,1,30,32616.057493835688,1039.3408497273922,0.26718926429748535
Transencwithlineardec,1,1,34554.49252088368,1388.2870019897819,0.021156907081604004
Transencwithlineardec,1,2,34402.53150990605,1329.8912556618452,0.06233006715774536
Transencwithlineardec,1,3,34237.929640084505,1290.4937441647053,0.09010821580886841
Transencwithlineardec,1,4,34122.47358497232,1260.803248807788,0.11104220151901245
Transencwithlineardec,1,5,34018.01846566051,1232.50892855227,0.13099175691604614
Transencwithlineardec,1,6,33922.271431952715,1215.8629079014063,0.1427285075187683
Transencwithlineardec,1,7,33847.89413214475,1200.619757860899,0.153475821018219
Transencwithlineardec,1,8,33767.88959737122,1183.3439631611109,0.1656566858291626
Transencwithlineardec,1,9,33710.932419762015,1173.9437054395676,0.17228448390960693
Transencwithlineardec,1,10,33657.76439012587,1158.8698813095689,0.1829126477241516
Transencwithlineardec,1,11,33596.36854636669,1159.2854230552912,0.18261975049972534
Transencwithlineardec,1,12,33551.14778265357,1160.9861272126436,0.1814204454421997
Transencwithlineardec,1,13,33499.85084500909,1153.9128848016262,0.1864076852798462
Transencwithlineardec,1,14,33474.02648869157,1130.8127679377794,0.20269495248794556
Transencwithlineardec,1,15,33415.27173936367,1127.62530002743,0.20494228601455688
Transencwithlineardec,1,16,33415.37528498471,1132.207943111658,0.20171117782592773
Transencwithlineardec,1,17,33428.92484310269,1121.6912636309862,0.2091262936592102
Transencwithlineardec,1,18,33385.75020311773,1120.6233923137188,0.20987921953201294
Transencwithlineardec,1,19,33352.16857600957,1132.4809391498566,0.20151883363723755
Transencwithlineardec,1,20,33328.16343256831,1124.3014199733734,0.20728594064712524
Transencwithlineardec,1,21,33277.8083653301,1126.9852725863457,0.20539361238479614
Transencwithlineardec,1,1,34568.85420705378,1389.6722149401903,0.020180225372314453
Transencwithlineardec,1,2,34433.96935677156,1331.4001348689198,0.06126624345779419
Transencwithlineardec,1,3,34270.00406492874,1299.6034837663174,0.08368510007858276
Transencwithlineardec,1,4,34167.896979667246,1282.0631687492132,0.09605234861373901
Transencwithlineardec,1,5,34069.57488492131,1264.994787067175,0.10808688402175903
Transencwithlineardec,1,6,33980.875005960464,1241.8132622539997,0.12443161010742188
Transencwithlineardec,1,7,33896.4076420404,1224.9074354171753,0.1363513469696045
Transencwithlineardec,1,8,33817.133956708014,1209.4148162901402,0.14727479219436646
