model,pred_len,epoch,train_loss,val_loss,r2_val_sklearn
lstm_attn,1,1,34377.02082039416,1273.6805434077978,0.10196274518966675
lstm_attn,1,2,33752.64312276244,1162.0094260424376,0.1806989312171936
lstm_attn,1,3,33452.70320924744,1103.661706738174,0.22183847427368164
lstm_attn,1,4,33306.01916316897,1078.9407181441784,0.23926842212677002
lstm_attn,1,5,33219.536279931664,1065.0969153344631,0.24902933835983276
lstm_attn,1,6,33136.47680994123,1049.855986379087,0.2597752809524536
lstm_attn,1,7,33070.97996294126,1040.844393581152,0.26612919569015503
lstm_attn,1,8,32992.79733181745,1034.6223796010017,0.27051615715026855
lstm_attn,1,9,32914.91360798478,1031.3899040669203,0.27279525995254517
lstm_attn,1,10,32881.11212966591,1028.8194666057825,0.2746075987815857
lstm_attn,1,11,32808.62274520472,1027.2317794114351,0.2757270336151123
lstm_attn,1,12,32753.689290195704,1029.453205242753,0.2741607427597046
lstm_attn,1,13,32717.07790762931,1029.6201517656446,0.27404308319091797
lstm_attn,1,14,32722.380618706346,1034.084290124476,0.27089548110961914
lstm_attn,1,15,32609.590308591723,1027.0604934096336,0.27584779262542725
lstm_attn,1,16,32536.078765153885,1030.962763607502,0.2730964422225952
lstm_attn,1,17,32484.411562234163,1041.4441066682339,0.26570630073547363
lstm_attn,1,18,32396.71161995828,1070.0150184035301,0.24556177854537964
lstm_attn,1,19,32314.283719226718,1095.856388092041,0.2273416519165039
lstm_attn,1,20,32737.27867729962,1079.5778757631779,0.23881924152374268
lstm_attn,1,21,32445.63845679164,1050.97946177423,0.25898319482803345
lstm_attn,1,22,32205.9798778072,1079.153243906796,0.23911869525909424
lstm_attn,1,23,32275.37700803578,1081.5830347388983,0.23740547895431519
lstm_attn,1,24,32204.893599390984,1157.760299384594,0.1836950182914734
lstm_attn,1,25,32037.720321297646,1095.5332553386688,0.227569580078125
lstm_attn,1,26,31885.959490031004,1121.7015426754951,0.2091190218925476
lstm_attn,1,27,31795.648622006178,1075.266089707613,0.24185943603515625
lstm_attn,1,28,32052.948610693216,1128.309987295419,0.20445960760116577
lstm_attn,1,29,31815.537652805448,1061.6989402994514,0.2514251470565796
lstm_attn,1,30,31978.561195984483,1258.6886547803879,0.11253315210342407
lstm_attn,2,1,34670.95452594757,1684.6796380616724,0.15620768070220947
lstm_attn,2,2,33699.118480078876,1534.4533449858427,0.2314503788948059
lstm_attn,2,3,33280.1251998879,1444.1874564737082,0.27666109800338745
lstm_attn,2,4,33058.4878782779,1395.481168165803,0.30105626583099365
lstm_attn,2,5,32894.605519101024,1368.18572306633,0.3147275447845459
lstm_attn,2,6,32744.282314814627,1349.1040206849575,0.32428479194641113
lstm_attn,2,7,32629.000971205533,1340.5822222232819,0.3285530209541321
lstm_attn,2,8,32505.71194844693,1331.8338691443205,0.33293473720550537
lstm_attn,2,9,32429.170175351202,1323.3730005472898,0.33717256784439087
lstm_attn,2,10,32381.39516275376,1320.4925746917725,0.33861517906188965
lstm_attn,2,11,32295.6444953382,1317.5263933837414,0.34010088443756104
lstm_attn,2,12,32163.731853589416,1317.1317178308964,0.34029853343963623
lstm_attn,2,13,32108.364366456866,1312.1114231348038,0.34281301498413086
lstm_attn,2,14,32035.713076651096,1319.3682825565338,0.33917826414108276
lstm_attn,2,15,31959.373830139637,1327.142725944519,0.33528435230255127
lstm_attn,2,16,32072.249255552888,1327.1619729995728,0.33527475595474243
lstm_attn,2,17,31903.238365873694,1336.6430661976337,0.33052605390548706
lstm_attn,2,18,31589.036252975464,1339.1240375638008,0.3292834162712097
lstm_attn,2,19,31813.461160689592,1343.936622440815,0.32687294483184814
lstm_attn,2,20,31937.629997223616,1331.9207822233438,0.33289122581481934
lstm_attn,2,21,31562.690654471517,1345.3609536886215,0.32615959644317627
lstm_attn,2,22,31930.734142780304,1357.9382855296135,0.3198601007461548
lstm_attn,2,23,31836.26834756136,1348.399693697691,0.32463759183883667
lstm_attn,2,24,31723.142595767975,1378.450953386724,0.3095860481262207
lstm_attn,2,25,31511.937944203615,1385.8198295533657,0.30589526891708374
lstm_attn,2,26,31731.182917267084,1365.7549988627434,0.3159449100494385
lstm_attn,2,27,31857.32617020607,1363.015958249569,0.31731683015823364
lstm_attn,2,28,31348.0938385427,1364.2620956003666,0.3166927099227905
lstm_attn,2,29,31176.057569473982,1344.723825186491,0.3264787197113037
lstm_attn,2,30,31612.933114409447,1364.6616944670677,0.31649261713027954
lstm_attn,3,1,35228.7025424093,2084.5224293917418,0.1488061547279358
lstm_attn,3,2,33912.99695925787,1838.4205764234066,0.24929934740066528
lstm_attn,3,3,33326.12190268189,1704.1917759627104,0.3041103482246399
lstm_attn,3,4,33030.47109512985,1651.0750269591808,0.32580000162124634
lstm_attn,3,5,32837.062167972326,1626.0551615953445,0.3360167145729065
lstm_attn,3,6,32660.216292977333,1599.6602671146393,0.3467947244644165
