model,pred_len,epoch,train_loss,val_loss,r2_val_sklearn
DeepLOB,2,0,447.9019878231749,1424.570738220215,0.009590327739715576
DeepLOB,2,1,432.3810042712153,1420.0768844604493,0.012714624404907227
DeepLOB,2,2,428.7435790392817,1417.2158081054688,0.014703691005706787
DeepLOB,2,3,426.2932298154247,1415.3166381835938,0.01602405309677124
DeepLOB,2,4,423.4990308956224,1415.966650390625,0.015572130680084229
DeepLOB,2,5,421.0990232662279,1414.356997680664,0.016691267490386963
DeepLOB,2,6,419.5929184738471,1412.351126098633,0.018085777759552002
