model,pred_len,epoch,train_loss,val_loss,r2_val_sklearn
LSTM_MO,1,0,4324.033323937274,1029.539301966893,-0.0009104013442993164
LSTM_MO,1,1,3890.828439874852,1041.3991741624498,-0.012440681457519531
LSTM_MO,1,2,3887.9642274329003,1029.3661199453222,-0.0007432699203491211
LSTM_MO,1,3,3888.7082623826695,1039.3035886779087,-0.010404348373413086
LSTM_MO,1,4,3882.277752531336,1028.6093888901573,-9.775161743164062e-06
LSTM_MO,1,5,3880.854830579555,1031.1177857449948,-0.0024471282958984375
LSTM_MO,1,6,3880.3367400879556,1032.847592812458,-0.004130959510803223
LSTM_MO,1,7,3880.6287404729965,1031.9502297830945,-0.00325775146484375
LSTM_MO,1,8,3875.2265882694974,1028.8236001502466,-0.0002181529998779297
LSTM_MO,1,9,3875.8278053364857,1028.7976847422942,-0.00019252300262451172
LSTM_MO,1,10,3874.6907462262093,1028.7987361099883,-0.0001939535140991211
LSTM_MO,1,11,3874.526620864868,1028.8428223588085,-0.00023651123046875
LSTM_MO,1,12,3874.2421286156837,1028.7418653983195,-0.00013899803161621094
LSTM_MO,1,13,3873.438919107965,1028.894596340092,-0.00028693675994873047
LSTM_MO,1,14,3873.2858448434386,1028.6067623910103,-7.033348083496094e-06
LSTM_MO,1,15,3872.9749162958024,1029.099976321213,-0.00048673152923583984
LSTM_MO,1,16,3873.362172106479,1028.8903374489937,-0.0002824068069458008
LSTM_MO,1,17,3872.7419250163625,1029.6711947972537,-0.0010422468185424805
LSTM_MO,1,18,3871.863016006794,1028.8173718561652,-0.00021195411682128906
LSTM_MO,1,19,3872.200175427376,1028.7478136979896,-0.0001443624496459961
LSTM_MO,1,20,3872.791806768864,1028.9082201710185,-0.00030028820037841797
LSTM_MO,1,21,3871.904498810464,1029.1829897975194,-0.0005674362182617188
LSTM_MO,1,22,3872.3576995362628,1028.613251871735,-1.33514404296875e-05
LSTM_MO,1,23,3872.1558300586457,1029.1539465125281,-0.0005391836166381836
LSTM_MO,1,24,3872.0899502368684,1028.6754466413543,-7.402896881103516e-05
LSTM_MO,1,25,3871.7044897688197,1028.9821807191572,-0.00037217140197753906
LSTM_MO,1,26,3871.5945006837237,1029.1224204056136,-0.0005085468292236328
