model,pred_len,epoch,train_loss,val_loss,r2_val_sklearn
LSTM_MO,1,0,481.72810566425323,106.9352783203125,-0.039620280265808105
LSTM_MO,1,1,160.60073244571686,103.42214889526367,-0.00546574592590332
LSTM_MO,1,2,112.53497026860714,102.96609306335449,-0.0010319948196411133
LSTM_MO,1,3,98.8444719016552,101.79702110290528,0.010333597660064697
LSTM_MO,1,4,95.42825988978147,101.0814437866211,0.01729041337966919
LSTM_MO,1,5,93.72867142558098,99.681595993042,0.03089970350265503
LSTM_MO,1,6,92.51210416257382,99.75033187866211,0.030231475830078125
LSTM_MO,1,7,91.96792545318604,98.83072357177734,0.039171814918518066
LSTM_MO,1,8,91.54994280338288,102.18256034851075,0.006585419178009033
LSTM_MO,1,9,91.22476664185524,99.36759185791016,0.033952414989471436
LSTM_MO,1,10,90.74525139480829,98.23742942810058,0.04493987560272217
LSTM_MO,1,11,90.09872629642487,99.24268379211426,0.035166800022125244
LSTM_MO,1,12,89.92619829177856,98.63637428283691,0.04106128215789795
LSTM_MO,1,13,89.6149687409401,97.59239311218262,0.051210880279541016
LSTM_MO,1,14,89.17700192928314,97.59711456298828,0.051164865493774414
LSTM_MO,1,15,89.0747968584299,97.53273811340333,0.051790833473205566
LSTM_MO,1,16,88.71192845106125,96.9518970489502,0.05743765830993652
LSTM_MO,1,17,88.48832757771015,97.85225257873535,0.04868441820144653
LSTM_MO,1,18,88.55410726964473,97.04980087280273,0.05648583173751831
LSTM_MO,1,19,88.06467223539948,96.7494010925293,0.0594063401222229
LSTM_MO,1,20,88.02763416916132,96.48032760620117,0.062022268772125244
LSTM_MO,1,21,87.72470393180848,97.14656677246094,0.055545032024383545
LSTM_MO,1,22,87.70698543787003,96.5870590209961,0.060984671115875244
LSTM_MO,1,23,87.48274992704391,96.2105583190918,0.06464505195617676
LSTM_MO,1,24,87.40386518985034,96.13802909851074,0.06535011529922485
LSTM_MO,1,25,87.19189897924662,96.06725273132324,0.06603825092315674
LSTM_MO,1,26,87.069080555439,96.11042633056641,0.06561845541000366
LSTM_MO,1,27,86.95731372311711,95.87188568115235,0.06793755292892456
LSTM_MO,1,28,86.80192352831364,95.76425666809082,0.06898397207260132
LSTM_MO,1,29,86.6277220517397,96.26878814697265,0.06407886743545532
LSTM_MO,1,30,86.67617033272981,95.6319465637207,0.07027024030685425
LSTM_MO,1,31,86.57524681910873,95.58161430358886,0.07075953483581543
LSTM_MO,1,32,86.30811417102814,95.42667160034179,0.0722658634185791
LSTM_MO,1,33,86.31248819828033,95.29649810791015,0.07353144884109497
LSTM_MO,1,34,86.16070396974683,95.99267959594727,0.06676316261291504
LSTM_MO,1,35,86.08365704417228,95.10402984619141,0.07540261745452881
LSTM_MO,1,36,85.97246376276016,95.24261093139648,0.07405531406402588
LSTM_MO,1,37,85.92900043725967,95.28807067871094,0.07361334562301636
LSTM_MO,1,38,85.86697512567044,95.06479339599609,0.07578402757644653
LSTM_MO,1,39,85.73100221604109,95.15267448425293,0.07492971420288086
LSTM_MO,1,40,85.54070078134536,95.06206741333008,0.0758104920387268
LSTM_MO,1,41,85.6047192633152,95.0044734954834,0.0763704776763916
LSTM_MO,1,42,85.43146876245737,94.5877124786377,0.08042222261428833
LSTM_MO,1,43,85.28329497203231,95.09000129699707,0.0755389928817749
LSTM_MO,1,44,85.33400304019452,94.72597236633301,0.0790780782699585
LSTM_MO,1,45,85.24517409205437,94.66166267395019,0.07970333099365234
LSTM_MO,1,46,85.2228831410408,94.54104270935059,0.0808759331703186
LSTM_MO,1,47,85.08946502953768,94.61047439575195,0.0802009105682373
LSTM_MO,1,48,85.0636241555214,94.43078308105468,0.081947922706604
LSTM_MO,1,49,85.05198454260827,94.55508308410644,0.08073949813842773
LSTM_MO,1,50,84.803248539567,95.08724670410156,0.07556581497192383
LSTM_MO,1,51,84.91774913668633,94.53286895751953,0.0809553861618042
LSTM_MO,1,52,84.8357965245843,94.53089408874511,0.08097457885742188
LSTM_MO,1,53,84.71713409423828,94.26740608215331,0.08353620767593384
LSTM_MO,1,54,84.78826499283313,94.57127494812012,0.08058202266693115
LSTM_MO,1,55,84.58063825368882,94.92310600280761,0.07716149091720581
LSTM_MO,1,56,84.4656221523881,94.30864334106445,0.08313530683517456
LSTM_MO,1,57,84.46969285011292,94.36855621337891,0.08255290985107422
LSTM_MO,1,58,84.32078569531441,94.51851844787598,0.08109492063522339
LSTM_MO,1,59,84.27234262526035,94.6533992767334,0.07978355884552002
